t_ms,raw,avg,var,maxminusmin,lastminusfirst,label
45830,89917,166389,25017268,126856,-126856, UNTOUCHED
45855,83491,86325,4000576,6426,-6426, NO_EVENT
45880,82460,82797,79025,1031,-1031, NO_EVENT
45905,82489,82569,10857,278,29, NO_EVENT
45930,82171,82389,30683,505,-318, NO_EVENT
45955,82210,82181,6191,225,-108, NO_EVENT
45980,81781,82039,106064,906,-429, NO_EVENT
46005,81820,81782,119871,1142,39, NO_EVENT
46030,82513,81805,114921,1285,1285, NO_EVENT
46055,82475,82387,26972,467,-38, NO_EVENT
46080,109154,95671,167960894,26679,26679, TOUCHED
46105,213971,215315,596706,2137,-663, TOUCHED
46130,85852,123648,91131926,128119,-128119, UNTOUCHED
46155,82707,83447,1121408,3205,-3145, NO_EVENT
46180,82410,82569,10511,350,-350, NO_EVENT
46205,82406,82386,7694,258,-4, NO_EVENT
46230,82178,82366,27835,475,-228, NO_EVENT
46255,82421,82331,17301,381,134, NO_EVENT
46280,82397,82406,4195,197,-24, NO_EVENT
46305,82508,82433,3278,168,111, NO_EVENT
46330,82468,82622,12428,295,-40, NO_EVENT
46355,83162,82772,15550,541,520, NO_EVENT
46380,95272,85266,5522607,12110,12110, NO_EVENT
46405,217575,161358,169073844,122303,122303, TOUCHED
46430,216820,216524,884642,2000,-755, TOUCHED
46455,196616,212344,62042617,20204,-20204, TOUCHED
46480,91440,124806,32924698,105176,-105176, UNTOUCHED
46505,86236,87507,2085049,3694,-3292, NO_EVENT
46530,83338,84480,440428,1728,-1728, NO_EVENT
46555,82667,82975,65871,681,-681, NO_EVENT
46580,82864,82735,6109,247,197, NO_EVENT
46605,82674,82697,5730,266,-190, NO_EVENT
46630,82708,82620,17600,370,34, NO_EVENT
46655,82497,82537,15526,407,-78, NO_EVENT
46680,82793,82604,6621,296,296, NO_EVENT
46705,97679,84995,22551316,15018,14886, TOUCHED
46730,206227,170462,66985609,116076,108548, TOUCHED
46755,211051,211960,16332348,9533,4824, TOUCHED
46780,110867,206067,36234218,101108,-100184, TOUCHED
46805,82982,90626,82926330,27885,-27885, UNTOUCHED
